From North Campus: Ellicott,,,,6:30,6:42,6:54,7:00,7:12,7:18,7:24,7:30,7:36,7:42,7:48,7:54,8:00,8:06,8:12,8:18,8:24,8:30,8:36,8:42,8:48,8:54,9:00,9:06,9:12,9:18,9:24,9:30,9:36,9:42,9:48,9:54,10:00,10:06,10:12,10:18,10:24,10:30,10:36,10:42,10:48,10:54,11:00,11:06,11:12,11:18,11:24,11:30,11:36,11:42,11:48,11:54,12:00,12:06,12:12,12:18,12:24,12:30,12:36,12:42,12:48,12:54,1:00,1:06,1:12,1:18,1:24,1:30,1:36,1:42,1:48,1:54,2:00,2:06,2:12,2:18,2:24,2:30,2:36,2:42,2:48,2:54,3:00,3:06,3:12,3:18,3:24,3:30,3:36,3:42,3:48,3:54,4:00,4:06,4:12,4:18,4:24,4:30,4:36,4:42,4:48,4:54,5:00,5:06,5:12,5:18,5:24,5:30,5:36,5:42,5:48,5:54,6:00,6:06,6:12,6:18,6:24,6:30,6:36,6:42,6:48,6:54,7:00,7:06,7:12,7:18,7:24,7:30,7:36,7:42,7:48,7:54,8:00,8:06,8:12,8:18,8:24,8:30,8:36,8:42,8:54,9:00,9:06,9:18,9:24,9:30,9:42,9:54,10:00,10:18,10:30,10:42,10:54,11:00,11:18,11:30,11:42,11:54,12:00,1:00
From North Campus: Lee Loop,,,,6:38,6:50,7:02,7:08,7:20,7:26,7:32,7:38,7:44,7:50,7:56,8:02,8:08,8:14,8:20,8:26,8:32,8:38,8:44,8:50,8:56,9:02,9:08,9:14,9:20,9:26,9:32,9:38,9:44,9:50,9:56,10:02,10:08,10:14,10:20,10:26,10:32,10:38,10:44,10:50,10:56,11:02,11:08,11:14,11:20,11:26,11:32,11:38,11:44,11:50,11:56,12:02,12:08,12:14,12:20,12:26,12:32,12:38,12:44,12:50,12:56,1:02,1:08,1:14,1:20,1:26,1:32,1:38,1:44,1:50,1:56,2:02,2:08,2:14,2:20,2:26,2:32,2:38,2:44,2:50,2:56,3:02,3:08,3:14,3:20,3:26,3:32,3:38,3:44,3:50,3:56,4:02,4:08,4:14,4:20,4:26,4:32,4:38,4:44,4:50,4:56,5:02,5:08,5:14,5:20,5:26,5:32,5:38,5:44,5:50,5:56,6:02,6:08,6:14,6:20,6:26,6:32,6:38,6:44,6:50,6:56,7:02,7:08,7:14,7:20,7:26,7:32,7:38,7:44,7:50,7:56,8:02,8:08,8:14,8:20,8:26,8:32,8:38,8:44,8:50,9:02,9:08,9:14,9:26,9:32,9:38,9:50,10:02,10:08,10:26,10:38,10:50,11:02,11:08,11:26,11:38,11:50,12:02,12:08,1:08
From North Campus: Governors,,,,6:40,6:52,7:04,7:10,7:22,7:28,7:34,7:40,7:46,7:52,7:58,8:04,8:10,8:16,8:22,8:28,8:34,8:40,8:46,8:52,8:58,9:04,9:10,9:16,9:22,9:28,9:34,9:40,9:46,9:52,9:58,10:04,10:10,10:16,10:22,10:28,10:34,10:40,10:46,10:52,10:58,11:04,11:10,11:16,11:22,11:28,11:34,11:40,11:46,11:52,11:58,12:04,12:10,12:16,12:22,12:28,12:34,12:40,12:46,12:52,12:58,1:04,1:10,1:16,1:22,1:28,1:34,1:40,1:46,1:52,1:58,2:04,2:10,2:16,2:20,2:28,2:34,2:40,2:46,2:52,2:58,3:04,3:10,3:16,3:22,3:28,3:34,3:40,3:46,3:52,3:58,4:04,4:10,4:16,4:22,4:28,4:34,4:40,4:46,4:52,4:58,5:04,5:10,5:16,5:22,5:28,5:34,5:40,5:46,5:52,5:58,6:04,6:10,6:16,6:22,6:28,6:34,6:40,6:46,6:52,6:58,7:04,7:10,7:16,7:22,7:28,7:34,7:40,7:46,7:52,7:58,8:04,8:10,8:16,8:22,8:28,8:34,8:40,8:46,8:52,9:04,9:10,9:16,9:28,9:34,9:40,9:52,10:04,10:10,10:28,10:40,10:52,11:04,11:10,11:28,11:40,11:52,12:04,12:10,1:10
From North Campus: Flint Loop,,,,6:45,6:57,7:09,7:15,7:27,7:33,7:39,7:45,7:51,7:57,8:03,8:09,8:15,8:21,8:27,8:33,8:39,8:45,8:51,8:57,9:03,9:09,9:15,9:21,9:27,9:33,9:39,9:45,9:51,9:57,10:03,10:09,10:15,10:21,10:27,10:33,10:39,10:45,10:51,10:57,11:03,11:09,11:15,11:21,11:27,11:33,11:39,11:45,11:51,11:57,12:03,12:09,12:15,12:21,12:27,12:33,12:39,12:45,12:51,12:57,1:03,1:09,1:15,1:21,1:27,1:33,1:39,1:45,1:51,1:57,2:03,2:09,2:15,2:21,2:27,2:33,2:39,2:45,2:51,2:57,3:03,3:09,3:15,3:21,3:27,3:33,3:39,3:45,3:51,3:57,4:03,4:09,4:15,4:21,4:27,4:33,4:39,4:45,4:51,4:57,5:03,5:09,5:15,5:21,5:27,5:33,5:39,5:45,,5:57,6:03,6:09,6:15,6:21,6:27,6:33,,6:45,6:51,6:57,7:03,7:09,7:15,7:21,7:27,7:33,7:39,7:45,7:51,7:57,8:03,8:09,8:15,8:21,8:27,8:33,8:39,8:45,8:51,,9:09,9:15,9:21,,9:39,9:45,9:57,,10:15,10:33,10:45,10:57,11:09,11:15,11:33,11:45,11:57,12:09,12:15,1:15
From North Campus: Service Center Road,,,,6:46,6:58,7:10,7:16,7:28,7:34,7:40,7:46,7:52,7:58,8:04,8:10,8:16,8:22,8:28,8:34,8:40,8:46,8:52,8:58,9:04,9:10,9:16,9:22,9:28,9:34,9:40,9:46,9:52,9:58,10:04,10:10,10:16,10:22,10:28,10:34,10:40,10:46,10:52,10:58,11:04,11:10,11:16,11:22,11:28,11:34,11:40,11:46,11:52,11:58,12:04,12:10,12:16,12:22,12:28,12:34,12:40,12:46,12:52,12:58,1:04,1:10,1:16,1:22,1:28,1:34,1:40,1:46,1:52,1:58,2:04,2:10,2:16,2:22,2:28,2:34,2:40,2:46,2:52,2:58,3:04,3:10,3:16,3:22,3:28,3:34,3:40,3:46,3:52,3:58,4:04,4:10,4:16,4:22,4:28,4:34,4:40,4:46,4:52,4:58,5:04,5:10,5:16,5:22,5:28,5:34,5:40,5:46,,5:58,6:04,6:10,6:16,6:22,6:28,6:34,,6:46,6:52,6:58,7:04,7:10,7:16,7:22,7:28,7:34,7:40,7:46,7:52,7:58,8:04,8:10,8:16,8:22,8:28,8:34,8:40,8:46,8:52,,9:10,9:16,9:22,,9:40,9:46,9:58,,10:16,10:34,10:46,10:58,11:10,11:16,11:34,11:46,11:58,12:10,12:16,1:16
From North Campus: Maynard,,,,6:52,7:04,7:16,7:22,7:34,7:40,7:46,7:52,7:58,8:04,8:10,8:16,8:22,8:28,8:34,8:40,8:46,8:52,8:58,9:04,9:10,9:16,9:22,9:28,9:34,9:40,9:46,9:52,9:58,10:04,10:10,10:16,10:22,10:28,10:34,10:40,10:46,10:52,10:58,11:04,11:10,11:16,11:22,11:28,11:34,11:40,11:46,11:52,11:58,12:04,12:10,12:16,12:22,12:28,12:34,12:40,12:46,12:52,12:58,1:04,1:10,1:16,1:22,1:28,1:34,1:40,1:46,1:52,1:58,2:04,2:10,2:16,2:22,2:28,2:34,2:40,2:46,2:52,2:58,3:04,3:10,3:16,3:22,3:28,3:34,3:40,3:46,3:52,3:58,4:04,4:10,4:16,4:22,4:28,4:34,4:40,4:46,4:52,4:58,5:04,5:10,5:16,5:22,5:28,5:34,5:40,5:46,5:52,,6:04,6:10,6:16,6:22,6:28,6:34,6:40,,6:52,6:58,7:04,7:10,7:16,7:22,7:28,7:34,7:40,7:46,7:52,7:58,8:04,8:10,8:16,8:22,8:28,8:34,8:40,8:46,8:52,8:58,,9:16,9:22,9:28,,9:46,9:52,10:04,,10:22,10:40,10:52,11:04,11:16,11:22,11:40,11:52,12:04,12:16,12:22,1:22
From North Campus: Goodyear,5:56,6:26,6:44,6:56,7:08,7:20,7:26,7:38,7:44,7:50,7:56,8:02,8:08,8:14,8:20,8:26,8:32,8:38,8:44,8:50,8:56,9:02,9:08,9:14,9:20,9:26,9:32,9:38,9:44,9:50,9:56,10:02,10:08,10:14,10:20,10:26,10:32,10:38,10:44,10:50,10:56,11:02,11:08,11:14,11:20,11:26,11:32,11:38,11:44,11:50,11:56,12:02,12:08,12:14,12:20,12:26,12:32,12:38,12:44,12:50,12:56,1:02,1:08,1:14,1:20,1:26,1:32,1:38,1:44,1:50,1:56,2:02,2:08,2:14,2:20,2:26,2:32,2:38,2:44,2:50,2:56,3:02,3:08,3:14,3:20,3:26,3:32,3:38,3:44,3:50,3:56,4:02,4:08,4:14,4:20,4:26,4:32,4:38,4:44,4:50,4:56,5:02,5:08,5:14,5:20,5:26,5:32,5:38,5:44,5:50,5:56,,6:08,6:14,6:20,6:26,6:32,6:38,6:44,,6:56,7:02,7:08,7:14,7:20,7:26,7:32,7:38,7:44,7:50,7:56,8:02,8:08,8:14,8:20,8:26,8:32,8:38,8:44,8:50,8:56,9:02,,9:20,9:26,9:32,,9:50,9:56,10:08,,10:26,10:44,10:56,11:08,11:20,11:26,11:44,11:56,12:08,12:20,12:26,1:26
From South Campus: Main Circle,6:00,6:30,6:48,7:00,7:12,7:24,7:30,7:42,7:48,7:54,8:00,8:06,8:12,8:18,8:24,8:30,8:36,8:42,8:48,8:54,9:00,9:06,9:12,9:18,9:24,9:30,9:36,9:42,9:48,9:54,10:00,10:06,10:12,10:18,10:24,10:30,10:36,10:42,10:48,10:54,11:00,11:06,11:12,11:18,11:24,11:30,11:36,11:42,11:48,11:54,12:00,12:06,12:12,12:18,12:24,12:30,12:36,12:42,12:48,12:54,1:00,1:06,1:12,1:18,1:24,1:30,1:36,1:42,1:48,1:54,2:00,2:06,2:12,2:18,2:24,2:30,2:36,2:42,2:48,2:54,3:00,3:06,3:12,3:18,3:24,3:30,3:36,3:42,3:48,3:54,4:00,4:06,4:12,4:18,4:24,4:30,4:36,4:42,4:48,4:54,5:00,5:06,5:12,5:18,5:24,5:30,5:36,5:42,5:48,5:54,6:00,,6:12,6:18,6:24,6:30,6:36,6:42,6:48,,7:00,7:06,7:12,7:18,7:24,7:30,7:36,7:42,7:48,7:54,8:00,8:06,8:12,8:18,8:24,8:30,8:36,8:42,8:48,8:54,9:00,9:06,,9:24,9:30,9:36,,9:54,10:00,10:12,,10:30,10:48,11:00,11:12,11:24,11:30,11:48,12:00,12:12,12:24,12:30,1:30
From South Campus: Maynard,6:04,6:34,6:52,7:04,7:16,7:28,7:34,7:46,7:52,7:58,8:04,8:10,8:16,8:22,8:28,8:34,8:40,8:46,8:52,8:58,9:04,9:10,9:16,9:22,9:28,9:34,9:40,9:46,9:52,9:58,10:04,10:10,10:16,10:22,10:28,10:34,10:40,10:46,10:52,10:58,11:04,11:10,11:16,11:22,11:28,11:34,11:40,11:46,11:52,11:58,12:04,12:10,12:16,12:22,12:28,12:34,12:40,12:46,12:52,12:58,1:04,1:10,1:16,1:22,1:28,1:34,1:40,1:46,1:52,1:58,2:04,2:10,2:16,2:22,2:28,2:34,2:40,2:46,2:52,2:58,3:04,3:10,3:16,3:22,3:28,3:34,3:40,3:46,3:52,3:58,4:04,4:10,4:16,4:22,4:28,4:34,4:40,4:46,4:52,4:58,5:04,5:10,5:16,5:22,5:28,5:34,5:40,5:46,5:52,5:58,6:04,,6:16,6:22,6:28,6:34,6:40,6:46,6:52,,7:04,7:10,7:16,7:22,7:28,7:34,7:40,7:46,7:52,7:58,8:04,8:10,8:16,8:22,8:28,8:34,8:40,8:46,8:52,8:58,9:04,9:10,,9:28,9:34,9:40,,9:58,10:04,10:16,,10:34,10:52,11:04,11:16,11:28,11:34,11:52,12:04,12:16,12:28,12:34,1:34
From South Campus: Service Center Road,6:10,6:40,6:58,7:10,7:22,7:34,7:40,7:52,7:58,8:04,8:10,8:16,8:22,8:28,8:34,8:40,8:46,8:52,8:58,9:04,9:10,9:16,9:22,9:28,9:34,9:40,9:46,9:52,9:58,10:04,10:10,10:16,10:22,10:28,10:34,10:40,10:46,10:52,10:58,11:04,11:10,11:16,11:22,11:28,11:34,11:40,11:46,11:52,11:58,12:04,12:10,12:16,12:22,12:28,12:34,12:40,12:46,12:52,12:58,1:04,1:10,1:16,1:22,1:28,1:34,1:40,1:46,1:52,1:48,2:04,2:10,2:16,2:22,2:28,2:34,2:40,2:46,2:52,2:58,3:04,3:10,3:16,3:22,3:28,3:34,3:40,3:46,3:52,3:58,4:04,4:10,4:16,4:22,4:28,4:34,4:40,4:46,4:52,4:58,5:04,5:10,5:16,5:22,5:28,5:34,5:40,5:46,5:52,5:58,6:04,6:10,,6:22,6:28,6:34,6:40,6:46,6:52,6:58,,7:10,7:16,7:22,7:28,7:34,7:40,7:46,7:52,7:58,8:04,8:10,8:16,8:22,8:28,8:34,8:40,8:46,8:52,8:58,9:04,9:10,9:16,,9:34,9:40,9:46,,10:04,10:10,10:22,,10:40,10:58,11:10,11:22,11:34,11:40,11:58,12:10,12:22,12:34,12:40,1:40
From South Campus: Flint Loop,6:15,6:45,7:03,7:15,7:27,7:39,7:45,7:57,8:03,8:09,8:15,8:21,8:27,8:33,8:39,8:45,8:51,8:57,9:03,9:09,9:15,9:12,9:27,9:33,9:39,9:45,9:51,9:57,10:03,10:09,10:15,10:21,10:27,10:33,10:39,10:45,10:51,10:57,11:03,11:09,11:15,11:21,11:27,11:33,11:39,11:45,11:51,11:57,12:03,12:09,12:15,12:21,12:27,12:33,12:39,12:45,12:51,12:57,1:03,1:09,1:15,1:21,1:27,1:33,1:39,1:45,1:51,1:57,2:03,2:09,2:15,2:21,2:27,2:33,2:39,2:45,2:51,2:57,3:03,3:09,3:15,3:21,3:27,3:33,3:39,3:45,3:51,3:57,4:03,4:09,4:15,4:21,4:27,4:33,4:39,4:45,4:51,4:57,5:03,5:09,5:15,5:21,5:27,5:33,5:39,5:45,5:51,5:57,6:03,6:09,6:15,6:21,6:27,6:33,6:39,6:45,6:51,6:57,7:03,7:09,7:15,7:21,7:27,7:33,7:39,7:45,7:51,7:57,8:03,8:09,8:15,8:21,8:27,8:33,8:39,8:45,8:51,8:57,9:03,9:09,9:15,9:21,9:27,9:39,9:45,9:51,10:03,10:09,10:15,10:27,10:39,10:45,11:03,11:15,11:27,11:39,11:45,12:03,12:15,12:27,12:39,12:45,1:45
From South Campus: Governors,6:18,6:48,7:06,7:18,7:30,7:42,7:48,8:00,8:06,8:12,8:18,8:24,8:30,8:36,8:42,8:48,8:54,9:00,9:06,9:12,9:18,9:24,9:30,9:36,9:42,9:48,9:54,10:00,10:06,10:12,10:18,10:24,10:30,10:36,10:42,10:48,10:54,11:00,11:06,11:12,11:18,11:24,11:30,11:36,11:42,11:48,11:54,12:00,12:06,12:12,12:18,12:24,12:30,12:36,12:42,12:48,12:54,1:00,1:06,1:12,1:18,1:24,1:30,1:36,1:42,1:48,1:54,2:00,2:06,2:12,2:18,2:24,2:30,2:36,2:42,2:48,2:54,3:00,3:06,3:12,3:18,3:24,3:30,3:36,3:42,3:48,3:54,4:00,4:06,4:12,4:18,4:24,4:30,4:36,4:42,4:48,4:54,5:00,5:06,5:12,5:18,5:24,5:30,5:36,5:42,5:48,5:54,6:00,6:06,6:12,6:18,6:24,6:30,6:36,6:42,6:48,6:54,7:00,7:06,7:12,7:18,7:24,7:30,7:36,7:42,7:48,7:54,8:00,8:06,8:12,8:18,8:24,8:30,8:36,8:42,8:48,8:54,9:00,9:06,9:12,9:18,9:24,9:30,9:42,9:48,9:54,10:06,10:12,10:18,10:30,10:42,10:48,11:06,11:18,11:30,11:42,11:48,12:06,12:18,12:30,12:42,12:48,1:48
From South Campus: Arrive Lee Loop,6:25,6:55,7:13,7:25,7:37,7:49,7:55,8:07,8:13,8:19,8:25,8:31,8:37,8:43,8:49,8:55,9:01,9:07,9:13,9:19,9:25,9:31,9:37,9:43,9:49,9:55,10:01,10:07,10:13,10:19,10:25,10:31,10:37,10:43,10:49,10:55,11:01,11:07,11:13,11:19,11:25,11:31,11:37,11:43,11:49,11:55,12:01,12:07,12:13,12:19,12:25,12:31,12:37,12:43,12:49,12:55,1:01,1:07,1:13,1:19,1:25,1:31,1:37,1:43,1:49,1:55,2:01,2:07,2:13,2:19,2:25,2:31,2:37,2:43,2:49,2:55,3:01,3:07,3:13,3:19,3:25,3:31,3:37,3:43,3:49,3:55,4:01,4:07,4:13,4:19,4:25,4:31,4:37,4:43,4:49,4:55,5:01,5:07,5:13,5:19,5:25,5:31,5:37,5:43,5:49,5:55,6:01,6:07,6:13,6:19,6:25,6:31,6:37,6:43,6:49,6:55,7:01,7:07,7:13,7:19,7:25,7:31,7:37,7:43,7:49,7:55,8:01,8:07,8:13,8:19,8:25,8:31,8:37,8:43,8:49,8:55,9:01,9:07,9:13,9:19,9:25,9:31,9:37,9:49,9:55,10:01,10:13,10:19,10:25,10:37,10:49,10:55,11:13,11:25,11:37,11:49,11:55,12:13,12:25,12:37,12:49,12:55,1:55
